code,name,city,country,latitude,longitude,elevation
06C,Schaumburg Regional,Schaumburg,United States,41.9893408,-88.1012428,801
06N,Randall Airport,Middletown,United States,41.431912,-74.3915611,523
0W3,Harford County Airport,Churchville,United States,39.5668378,-76.2024028,409
17G,Port Bucyrus-Crawford County Airport,Bucyrus,United States,40.7815556,-82.9748056,1003
19A,Jackson County Airport,Jefferson,United States,34.1758638,-83.5615972,951
1CS,Clow International Airport,Bolingbrook,United States,41.6959744,-88.1292306,670
1G4,Grand Canyon West Airport,Peach Springs,United States,35.899904,-113.815674,4813
1OH,Fortman Airport,St. Marys,United States,40.5553253,-84.3866186,885
2G9,Somerset County Airport,Somerset,United States,40.0388708,-79.0149951,2275
2H0,Shelby County Airport,Shelbyville,United States,39.410556,-88.845556,550
2J9,Quincy Municipal Airport,Quincy,United States,30.5978708,-84.557425,225
36U,Heber City Municipal Airport,Heber,United States,40.4818056,-111.4288056,5637
49A,Gilmer County Airport,Ellijay,United States,34.6282222,-84.5265833,1486
49X,Chemehuevi Valley,Chemehuevi Valley,United States,34.528889,-114.431971,638
4B8,Robertson Field,Plainville,United States,41.6893333,-72.8646944,202
54J,DeFuniak Springs Airport,DeFuniak Springs,United States,30.7311111,-86.1537778,289
6K8,Tok Junction Airport,Tok,United States,63.329444,-142.953611,1639
6S2,Florence,Florence,United States,43.9828168,-124.1113687,51
93C,Richland Airport,Richland Center,United States,43.2833575,-90.2982819,742
AAH,Flugplatz Merzbrueck,Aachen,Germany,50.823194,6.186389,570
AAJ,Cayana Airstrip,Cayana,Suriname,3.898611,-55.577778,50
AAK,Aranuka Airport,Buariki,Kiribati,0.185278,173.636389,6
AAN,Al Ain International Airport,Al Ain,United Arab Emirates,24.261667,55.609167,869
AAU,Asau Airport,Savai\\'i,Samoa,-13.505,-172.627778,6
AAY,Al Ghaidah Intl,Al Ghaidah Intl,Yemen,16.191667,52.175,134
AAZ,Quezaltenango Airport,Quezaltenango,Guatemala,14.8656,-91.502,7779
ABA,Abakan,Abakan,Russia,53.74,91.385,831
ABJ,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,5.261386,-3.926294,21
ABN,Albina Airstrip,Albina,Suriname,5.516667,-54.05,10
ABZ,Dyce,Aberdeen,United Kingdom,57.201944,-2.197778,215
ACI,Alderney,Alderney,Guernsey,49.706111,-2.214722,290
ACJ,Jimmy Carter Regional,Americus,United States,32.0665,-84.1133,468
ACK,Nantucket Mem,Nantucket,United States,41.253053,-70.060181,48
ACX,Xingyi Airport,Xingyi,China,25.0882,104.9587,500
ADM,Ardmore Muni,Ardmore,United States,34.300833,-97.008889,762
ADW,Andrews Afb,Camp Springs,United States,38.810806,-76.867028,280
AES,Vigra,Alesund,Norway,62.560372,6.110164,69
AEX,Alexandria Intl,Alexandria,United States,31.3274,-92.549833,89
AFE,Kake Airport,Kake,United States,56.961389,-133.910278,172
AFL,Alta Floresta,Alta Floresta,Brazil,-9.866092,-56.106206,947
AFZ,Sabzevar National Airport,Sabzevar,Iran,36.168083,57.595183,3010
AGE,Wangerooge Airport,Wangerooge,Germany,53.7828,7.91389,7
AGI,Wageningen Airstrip,Wageningen,Suriname,5.76667,-56.63333,10
AGM,Tasiilaq,Angmagssalik,Greenland,65.612222,-37.618333,24
AGS,Augusta Rgnl At Bush Fld,Bush Field,United States,33.369944,-81.9645,144
AHU,Cherif El Idrissi,Al Hociema,Morocco,35.177103,-3.839525,95
AIC,Airok Airport,Airok,Marshall Islands,7.1,171.233333,10
AIK,Municipal Airport,Aiken,United States,33.6493889,-81.6850278,529
AIM,Ailuk Airport,Ailuk Island,Marshall Islands,10.2168,169.983,0
AIU,Atiu Island Airport,Atiu Island,Cook Islands,-19.9678,-158.119,36
AJN,Ouani,Anjouan,Comoros,-12.131667,44.430279,62
AJR,Arvidsjaur,Arvidsjaur,Sweden,65.590278,19.281944,1245
AKB,Atka Airport,Atka,United States,52.220278,-174.206389,56
AKI,Akiak Airport,Akiak,United States,60.902778,-161.230556,30
ALA,Almaty,Alma-ata,Kazakhstan,43.352072,77.040508,2234
ALB,Albany Intl,Albany,United States,42.748267,-73.801692,285
ALC,Alicante,Alicante,Spain,38.282169,-0.558156,142
ALL,Albenga,Albenga,Italy,44.050608,8.127428,148
ALM,Alamogordo White Sands Regional Airport,Alamogordo,United States,32.8399,-105.991,4200
ALS,San Luis Valley Regional Airport,Alamosa,United States,37.435,-105.866667,7539
AMB,Ambilobe,Ambilobe,Madagascar,-13.188431,48.987978,72
AMD,Ahmedabad,Ahmedabad,India,23.077242,72.63465,189
AMH,Arba Minch,Arba Minch,Ethiopia,6.039389,37.590453,3895
AMS,Schiphol,Amsterdam,Netherlands,52.308613,4.763889,-11
AMY,Ambatomainty Airport,Ambatomainty,Madagascar,-17.1667,47.1833,500
ANB,Anniston Metro,Anniston,United States,33.588167,-85.858111,612
AND,Anderson Rgnl,Andersen,United States,34.494583,-82.709389,782
ANE,Angers-Loire Airport,Angers/Marc├⌐,France,47.5603,-0.312222,194
ANS,Andahuaylas,Andahuaylas,Peru,-13.706408,-73.350378,11300
ANU,V C Bird Intl,Antigua,Antigua and Barbuda,17.136749,-61.792667,62
AOC,Altenburg Nobitz,Altenburg,Germany,50.981817,12.506361,640
AOS,Amook Bay Seaplane Base,Amook Bay,United States,57.471389,-153.815278,0
APC,Napa County Airport,Napa,United States,38.2131944,-122.2806944,35
APN,Alpena County Regional Airport,Alpena,United States,45.0781,-83.5603,689
APW,Faleolo Intl,Faleolo,Samoa,-13.829969,-172.008336,58
APZ,ZAPALA,ZAPALA,Argentina,-38.9755,-70.113581,3330
AQB,Santa Cruz des Quiche Airport,Santa Cruz des Quiche,Guatemala,15.0122004,-91.1505966,6631
AQJ,Aqaba King Hussein Intl,Aqaba,Jordan,29.611619,35.018067,175
ASE,Aspen Pitkin County Sardy Field,Aspen,United States,39.2232,-106.869,7820
ATA,Comandante Fap German Arias Graziani,Anta,Peru,-9.347444,-77.598392,9097
ATB,Atbara Airport,Atbara,Sudan,17.7,33.967,1181
ATC,Arthurs Town Airport,Arthur's Town,Bahamas,24.629417,-75.673775,18
ATD,Uru Harbour Airport,Atoifi,Solomon Islands,-8.87333,161.011,0
ATM,Altamira,Altamira,Brazil,-3.253906,-52.253978,368
ATY,Watertown Regional Airport,Watertown,United States,44.914,-97.1547,1748
ATZ,Asyut International Airport,Asyut,Egypt,27.046508,31.011983,772
AUH,Abu Dhabi Intl,Abu Dhabi,United Arab Emirates,24.432972,54.651138,88
AUL,Aur Island Airport,Aur Atoll,Marshall Islands,8.14528,171.173,0
AUO,Auburn University Regional,Auburn,United States,32.3691,-85.2604,777
AUW,Wausau Downtown Airport,Wausau,United States,44.9262845,-89.6270018,1201
AUX,Araguaina Airport,Araguaina,Brazil,-7.228333,-48.240833,771
AVI,Maximo Gomez,Ciego De Avila,Cuba,22.027053,-78.789617,335
AVN,Caumont,Avignon,France,43.9073,4.901831,124
AVO,Executive,Avon Park,United States,27.591389,-81.528889,160
AVV,Avalon,Avalon,Australia,-38.039444,144.469444,35
AWD,Aniwa Airport,Aniwa,Vanuatu,-19.24,169.605,69
AXA,Wallblake,The Valley,Anguilla,18.204834,-63.055084,127
AXD,Dimokritos,Alexandroupolis,Greece,40.855869,25.956264,24
AXU,Axum,Axum,Ethiopia,14.14675,38.772833,6915
AYK,Arkalyk Airport,Arkalyk,Kazakhstan,50.2395,66.941,1152
AYQ,Ayers Rock,Uluru,Australia,-25.186111,130.975556,1626
BAB,Beale Afb,Marysville,United States,39.136089,-121.436567,113
BAF,Barnes Municipal,Westfield,United States,42.1579472,-72.715875,270
BAL,Batman,Batman,Turkey,37.928969,41.116583,1822
BAS,Ballalae Airport,Ballalae,Solomon Islands,-6.967,155.883,5
BAZ,Barcelos Airport,Barcelos,Brazil,-0.975,-62.923889,500
BBR,Baillif Airport,Basse Terre,Guadeloupe,16.0133,-61.7422,59
BCA,Gustavo Rizo,Baracoa Playa,Cuba,20.365317,-74.506206,26
BCE,Bryce Canyon,Bryce Canyon,United States,37.706444,-112.145806,7590
BCO,Baco Airport,Baco,Ethiopia,5.78287,36.562,0
BCV,Hector Silva Airstrip,Belmopan,Belize,17.269444,-88.776111,50
BDA,Bermuda Intl,Bermuda,Bermuda,32.364042,-64.678703,12
BDI,Bird Island Airport,Bird Island,Seychelles,-3.721389,55.208611,10
BDS,Casale,Brindisi,Italy,40.657633,17.947033,47
BDU,Bardufoss,Bardufoss,Norway,69.055758,18.540356,252
BEB,Benbecula,Benbecula,United Kingdom,57.481111,-7.362778,19
BEH,Southwest Michigan Regional Airport,Benton Harbor,United States,42.1285833,-86.4285,643
BEN,Benina,Benghazi,Libya,32.096786,20.269472,433
BEO,Belmont Airport,Lake Macquarie,Australia,-33.066667,151.648333,5
BEP,Bellary,Bellary,India,15.162783,76.882775,30
BER,Berlin Brandenburg Willy Brandt,Berlin,Germany,52.366667,13.503333,154
BES,Guipavas,Brest,France,48.447911,-4.418539,325
BET,Bethel,Bethel,United States,60.779778,-161.838,121
BEZ,Beru Island Airport,Beru Island,Kiribati,-1.254722,176.007222,10
BFF,Western Nebraska Regional Airport,Scottsbluff,United States,41.874,-103.596,3967
BFM,Mobile Downtown,Mobile,United States,30.626783,-88.068092,26
BFQ,Bahia Pi├▒a Airport,Bahia Pi├▒a,Panama,7.583,-78.2,14
BFS,Belfast Intl,Belfast,United Kingdom,54.6575,-6.215833,268
BGY,Bergamo Orio Al Serio,Bergamo,Italy,45.673889,9.704166,782
BHB,Hancock County - Bar Harbor,Bar Harbor,United States,44.4497689,-68.3615653,83
BHE,Woodbourne,Woodbourne,New Zealand,-41.518333,173.870278,109
BHI,Comandante Espora,Bahia Blanca,Argentina,-38.724967,-62.169317,246
BHJ,Bhuj,Bhuj,India,23.287828,69.670147,268
BHS,Bathurst Airport,Bathurst,Australia,-33.4094,149.652,2435
BID,Block Island State Airport,Block Island,United States,41.168056,-71.577778,108
BIE,Biessenhofen BF,Biessenhofen,Germany,47.851,10.634,1200
BIG,Allen Aaf,Delta Junction,United States,63.994547,-145.721642,1291
BIM,South Bimini,Alice Town,Bahamas,25.699881,-79.264656,10
BIS,Bismarck Municipal Airport,Bismarck,United States,46.775842,-100.757931,1661
BIU,Bildudalur Airport,Bildudalur,Iceland,65.641389,-23.546111,26
BJC,Rocky Mountain Metropolitan Airport,Broomfield-CO,United States,39.90888888,-105.11722222,5670
BJH,Bajhang,Bajhang,Nepal,29.53896,81.185364,4100
BKA,Bykovo,Moscow,Russia,55.617222,38.059999,427
BKD,Stephens Co,Breckenridge,United States,32.719047,-98.891,1284
BKH,Barking Sands Pmrf,Barking Sands,United States,22.022833,-159.785,23
BKK,Suvarnabhumi Intl,Bangkok,Thailand,13.681108,100.747283,5
BKW,Raleigh County Memorial Airport,Beckley,United States,37.7873,-81.1242,2504
BLH,Blythe Airport,Blythe,United States,33.619167,-114.716889,399
BLQ,Bologna,Bologna,Italy,44.535444,11.288667,123
BLR,Bangalore,Bangalore,India,12.949986,77.668206,2912
BLZ,Chileka Intl,Blantyre,Malawi,-15.679053,34.974014,2555
BMU,Muhammad Salahuddin,Bima,Indonesia,-8.539647,118.687322,3
BND,Bandar Abbass Intl,Bandar Abbas,Iran,27.218317,56.37785,22
BNK,Ballina Byron Gateway,Ballina Byron Bay,Australia,-28.833889,153.5625,7
BNX,Banja Luka International Airport,Banja Luka,Bosnia and Herzegovina,44.941444,17.297501,400
BON,Flamingo,Kralendijk,Netherlands Antilles,12.131044,-68.268511,20
BOT,Bosset Airport,Bosset,Papua New Guinea,-7.240833,141.092333,60
BPE,Bagan,Bagan,Burma,21.17383327,94.9246666,0
BPF,Batuna Airport,Batuna,Solomon Islands,-8.63,158.0,5
BPU,Beppu Airport,Beppu,Japan,33.3,131.5333,197
BQN,Rafael Hernandez,Aguadilla,Puerto Rico,18.494861,-67.129444,237
BRD,Brainerd Lakes Rgnl,Brainerd,United States,46.398308,-94.138078,1226
BRM,Barquisimeto Intl,Barquisimeto,Venezuela,10.042747,-69.358619,2042
BRT,Bathurst Island Airport,Bathurst Island,Australia,-11.769167,130.619722,67
BRU,Brussels Natl,Brussels,Belgium,50.901389,4.484444,184
BRW,Wiley Post Will Rogers Mem,Barrow,United States,71.285446,-156.766003,44
BSL,EuroAirport Basel-Mulhouse-Freiburg,Basel,Switzerland,47.59,7.529167,885
BTS,M R Stefanik,Bratislava,Slovakia,48.170167,17.212667,436
BTV,Burlington Intl,Burlington,United States,44.471861,-73.153278,335
BTZ,Bursa Airport,Bursa,Turkey,40.2332993,29.0091991,772
BUH,Buchloe BF,Buchloe,Germany,48.0411,10.715,1200
BUI,Bokondini Airport,Bokondini-Papua Island,Indonesia,-3.58365,138.533,9104
BUU,Municipal Airport,Burlington,United States,42.6907171,-88.3046825,780
BVC,Rabil,Boa Vista,Cape Verde,16.136531,-22.888897,69
BVG,Berlevag,Berlevag,Norway,70.866667,29.0,43
BVH,Vilhena,Vilhena,Brazil,-12.694375,-60.098269,2018
BWG,Bowling Green-Warren County Regional Airport,Bowling Green,United States,36.9645278,-86.4196667,547
BXR,Bam Airport,Bam,Iran,29.084169,58.450042,3231
BXS,Borrego Valley Airport,Borrego Springs,United States,33.2590278,-116.3209722,520
BXX,Boorama Airport,Boorama,Somalia,9.933,43.15,0
BYM,Carlos Manuel De Cespedes,Bayamo,Cuba,20.396331,-76.621494,203
BYN,Bayankhongor Airport,Bayankhongor,Mongolia,46.1633,100.704,6085
BYS,Bicycle Lake Aaf,Fort Irwin,United States,35.280531,-116.630031,2350
BYT,Bantry Aerodrome,Bantry,Ireland,51.668598,-9.48417,7
BYU,Bayreuth,Bayreuth,Germany,49.984428,11.638569,1601
BZA,Bonanza Airport,Bonanza,Nicaragua,14.041667,-84.630556,597
BZE,Philip S W Goldson Intl,Belize City,Belize,17.539144,-88.308203,15
BZI,Balikesir,Balikesir,Turkey,39.619258,27.925958,340
C91,Dowagiac Municipal Airport,Dowagiac,United States,41.9929342,-86.1280125,748
CAC,Cascavel,Cascavel,Brazil,-25.000339,-53.500764,2473
CAH,Ca Mau,Ca Mau,Vietnam,9.188049,105.174721,50
CAJ,Canaima,Canaima,Venezuela,6.231989,-62.854433,1450
CAP,Cap Haitien Intl,Cap Haitien,Haiti,19.732989,-72.194739,10
CAW,Bartolomeu Lisandro,Campos,Brazil,-21.698333,-41.301669,57
CAZ,Cobar Airport,Cobar,Australia,-31.5383,145.794,724
CCC,Cayo Coco Airport,Cayo Coco,Cuba,22.5132,-78.511,6
CCJ,Calicut,Calicut,India,11.136839,75.9553,342
CCO,Coweta County Airport,Newnan,United States,33.3115656,-84.7697554,970
CCR,Buchanan Field Airport,Concord,United States,37.9896667,-122.0568889,26
CCU,Netaji Subhash Chandra Bose Intl,Kolkata,India,22.654739,88.446722,16
CDG,Charles De Gaulle,Paris,France,49.012779,2.55,392
CDI,Cambridge Municipal Airport,Cambridge,United States,39.9750278,-81.5775833,799
CDJ,Conceicao Do Araguaia,Conceicao Do Araguaia,Brazil,-8.348347,-49.301528,653
CDN,Woodward Field,Camden,United States,34.2835833,-80.5648611,302
CDS,Childress Muni,Childress,United States,34.433781,-100.287992,1954
CDU,Camden,Camden,Australia,-34.040278,150.687222,230
CDV,Merle K Mudhole Smith,Cordova,United States,60.491778,-145.477556,48
CEW,Bob Sikes,Crestview,United States,30.778833,-86.522111,213
CFB,Cabo Frio International Airport,Cabo Frio,Brazil,-22.921667,-42.074167,14
CFD,Coulter Fld,Bryan,United States,30.715694,-96.331361,367
CFG,Jaime Gonzalez,Cienfuegos,Cuba,22.15,-80.414167,102
CFS,Coffs Harbour,Coff's Harbour,Australia,-30.320556,153.116389,18
CGB,Marechal Rondon,Cuiaba,Brazil,-15.652931,-56.116719,617
CGF,Cuyahoga County,Richmond Heights,United States,41.565124,-81.4863555,879
CGR,Campo Grande,Campo Grande,Brazil,-20.468667,-54.6725,1833
CGX,Meigs Field,Chicago,United States,41.860278,-87.609722,585
CHG,Chaoyang Airport,Chaoyang,China,41.5381,120.435,0
CHI,All Airports,Chicago,United States,41.883611,-87.631667,596
CHQ,Souda,Chania,Greece,35.531747,24.149678,490
CHR,Deols,Chateauroux,France,46.862194,1.730667,529
CIC,Chico Muni,Chico,United States,39.795383,-121.858422,238
CIH,Changzhi Airport,Changzhi,China,36.2475,113.126,0
CJS,Abraham Gonzalez Intl,Ciudad Juarez,Mexico,31.636133,-106.428667,3904
CLC,Clear Lake Metroport,Clear Lake City,United States,29.5569,-95.137497,35
CLT,Charlotte Douglas Intl,Charlotte,United States,35.214,-80.943139,748
CLW,Clearwater Air Park,Clearwater,United States,27.9764722,-82.7586667,70
CLY,Saint Catherine,Calvi,France,42.530753,8.793189,209
CMB,Bandaranaike Intl Colombo,Colombo,Sri Lanka,7.180756,79.884117,30
CMP,Campo Alegre Airport,Santana do Araguaia,Brazil,-9.505,-50.625,525
CNB,Coonamble Airport,Coonamble,Australia,-30.9833,148.376,604
CNQ,Corrientes,Corrientes,Argentina,-27.445503,-58.761864,203
CNS,Cairns Intl,Cairns,Australia,-16.885833,145.755278,10
CNW,Tstc Waco,Waco,United States,31.637831,-97.074139,470
COJ,Coonabarabran,Coonabarabran,Australia,-31.337221,149.27194,2117
COL,Coll Airport,Coll,United Kingdom,56.633333,-6.557222,50
COT,Cotulla Lasalle Co,Cotulla,United States,28.456694,-99.220294,474
CPB,Capurgana Airport,Capurgana,Colombia,8.616667,-77.333333,100
CPD,Coober Pedy Airport,Coober Pedy,Australia,-29.04,134.721,740
CRD,Comodoro Rivadavia,Comodoro Rivadavia,Argentina,-45.785347,-67.465508,190
CRI,Colonel Hill Airport,Colonel Hill,Bahamas,22.745561,-74.182353,5
CRM,Catarman National Airport,Catarman,Philippines,12.502417,124.635778,6
CRP,Corpus Christi Intl,Corpus Christi,United States,27.770361,-97.501222,44
CRW,Yeager,Charleston,United States,38.373147,-81.593189,981
CRZ,Turkmenabat,Turkmenabat,Turkmenistan,39.083333,63.602222,630
CSA,Colonsay Airport,Colonsay,United Kingdom,56.0575,-6.243056,44
CSC,Codela Airport,Guapiles,Costa Rica,10.414,-85.0917,328
CSG,Columbus Metropolitan Airport,Columbus,United States,32.5163333,-84.9388611,397
CSO,Magdeburg-Cochstedt,Cochstedt,Germany,51.855833,11.418333,596
CTA,Catania Fontanarossa,Catania,Italy,37.466781,15.0664,39
CTG,Rafael Nunez,Cartagena,Colombia,10.442381,-75.512961,4
CTU,Shuangliu,Chengdu,China,30.578528,103.947086,1625
CUA,Ciudad Constituci├│n Airport,Ciudad Constituci├│n,Mexico,25.0538,-111.615,213
CUC,Camilo Daza,Cucuta,Colombia,7.927567,-72.511547,1096
CUK,Caye Caulker Airport,Caye Caulker,Belize,17.7347,-88.0325,1
CUN,Cancun Intl,Cancun,Mexico,21.036528,-86.877083,20
CVT,Coventry,Coventry,United Kingdom,52.369722,-1.479722,267
CVU,Corvo Airport,Corvo,Portugal,39.6715,-31.1136,0
CWC,Chernivtsi International Airport,Chernovtsk,Ukraine,48.259322,25.980831,826
CWI,Clinton Municipal,Clinton,United States,41.83075,-90.3289722,708
CXH,Vancouver Coal Harbour,Vancouver,Canada,49.289722,-123.115833,0
CXI,Cassidy Intl,Kiritimati,Kiribati,1.986161,-157.349778,5
CXJ,Campo Dos Bugres,Caxias Do Sul,Brazil,-29.197064,-51.187536,2472
CXL,Calexico Intl,Calexico,United States,32.669502,-115.51333,4
CXR,Cam Ranh Airport,Nha Trang,Vietnam,11.998153,109.219372,40
CYM,Chatham Seaplane Base,Sitka,United States,57.515,-134.946111,0
CYT,Yakataga Airport,Yakataga,United States,60.081901,-142.493611,12
CZG,Tri-Cities,Endicott,United States,42.0471,-76.0578,833
CZL,Mohamed Boudiaf Intl,Constantine,Algeria,36.276028,6.620386,2265
DAC,Zia Intl,Dhaka,Bangladesh,23.843333,90.397781,30
DAL,Dallas Love Fld,Dallas,United States,32.847111,-96.851778,487
DAQ,Daqing Saertu Airport,Daqing,China,46.583333,125.0,1020
DAT,Datong Airport,Datong,China,40.0603,113.482,3442
DAU,Daru Airport,Daru,Papua New Guinea,-9.08676,143.208,20
DAV,Enrique Malek Intl,David,Panama,8.391003,-82.434992,89
DBM,Debre Marqos,Debre Marqos,Ethiopia,10.316667,37.733333,7440
DBT,Debre Tabor Airport,Debre Tabor,Ethiopia,11.966667,38.0,7740
DCI,Decimomannu,Decimomannu,Italy,39.354222,8.972481,100
DEM,Dembidollo Airport,Dembidollo,Ethiopia,8.554,34.858,5200
DGL,Douglas Municipal Airport,Douglas,United States,31.3426028,-109.5064544,4173
DGT,Dumaguete,Dumaguete,Philippines,9.333714,123.300472,15
DHA,King Abdulaziz Ab,Dhahran,Saudi Arabia,26.265417,50.152027,84
DHM,Kangra Airport,Kangra,India,32.1651,76.2634,2525
DHR,De Kooy,De Kooy,Netherlands,52.923353,4.780625,3
DIE,Arrachart,Antsiranana,Madagascar,-12.3494,49.291747,374
DIG,Diqing Airport,Shangri-La,China,27.7936,99.6772,0
DIL,Presidente Nicolau Lobato Intl,Dili,East Timor,-8.546553,125.524719,25
DIU,Diu Airport,Diu,India,20.7131,70.9211,31
DIY,Diyarbakir,Diyabakir,Turkey,37.893897,40.201019,2251
DKX,Knoxville Downtown Island Airport,Knoxville,United States,35.9638333,-83.8736667,833
DLC,Zhoushuizi,Dalian,China,38.965667,121.5386,107
DLE,Tavaux,Dole,France,47.039014,5.42725,645
DLH,Duluth Intl,Duluth,United States,46.842091,-92.193649,1428
DLL,Baraboo Wisconsin Dells Airport,Baraboo,United States,43.5217843,-89.7709266,979
DLU,Dali,Dali,China,25.649444,100.319444,6978
DMB,Taraz,Dzhambul,Kazakhstan,42.853611,71.303611,2184
DMU,Dimapur Airport,Dimapur,India,25.8839,93.7711,487
DND,Dundee,Dundee,United Kingdom,56.452499,-3.025833,17
DNK,Dnipropetrovsk Intl,Dnepropetrovsk,Ukraine,48.357222,35.100556,481
DNN,Dalton Municipal Airport,Dalton,United States,34.7229444,-84.87025,709
DNR,Pleurtuit,Dinard,France,48.587683,-2.079958,219
DRB,Derby Airport,Derby,Australia,-17.39,123.68,26
DRI,Beauregard Rgnl,Deridder,United States,30.831722,-93.339917,202
DTD,Datadawai Airport,Datadawai-Borneo Island,Indonesia,0.717,116.483,229
DTI,Diamantina Airport,Diamantina,Brazil,-18.231944,-43.650278,4446
DTS,Destin,Destin,United States,30.4000611,-86.4714772,23
DUG,Bisbee Douglas Intl,Douglas,United States,31.469028,-109.603667,4154
DUT,Unalaska,Unalaska,United States,53.900139,-166.5435,22
DVD,Andavadoaka,Andavadoaka,Madagascar,-22.111111,43.270556,27
DVT,Deer Valley Municipal Airport,Phoenix,United States,33.4117,112.457,1478
DWA,Yolo County Airport,Davis-Woodland-Winters,United States,38.5793889,-121.8569444,100
DWB,Soalala Airport,Soalala,Madagascar,-16.083,45.367,141
DXB,Dubai Intl,Dubai,United Arab Emirates,25.252778,55.364444,62
DXR,Danbury Municipal Airport,Danbury,United States,41.3715353,-73.4821906,458
DYG,Dayong Airport,Dayong,China,29.1028,110.443,692
DZA,Dzaoudzi Pamandzi,Dzaoudzi,Mayotte,-12.804722,45.281113,23
DZM,Aeroclub Cluj,Dezmir,Romania,46.4643,23.4258,1019
E63,Gila Bend Municipal Airport,Gila Bend,United States,32.960169,-112.673636,789
E91,Chinle Municipal Airport,Chinle,United States,36.1108806,-109.5754222,5547
EAA,Eagle Airport,Eagle,United States,64.778056,-141.149722,908
EAL,Elenak Airport,Elenak,Marshall Islands,9.083333,167.333333,10
EAR,Kearney Municipal Airport,Kearney,United States,40.727,-99.0068,2131
EAS,San Sebastian,San Sebastian,Spain,43.356519,-1.790611,15
EBA,Marina Di Campo,Marina Di Campo,Italy,42.760277,10.239445,31
EBL,Erbil Intl,Erbil,Iraq,36.237611,43.963158,1341
EDL,Eldoret Intl,Eldoret,Kenya,0.404458,35.238928,6941
EDM,Les Ajoncs,La Roche-sur-yon,France,46.701944,-1.378625,299
EDR,Pormpuraaw Airport,Pormpuraaw,Australia,-14.8967,141.609,10
EGT,Wellington Municipal,Wellington,United States,37.39411,-97.423225,1277
EKO,Elko Regional Airport,Elko,United States,40.8249,-115.792,5140
ELA,Naypyidaw,Naypyidaw,Burma,19.6235,96.201028,302
ELE,EL Real Airport,El Real,Panama,8.133,-77.7,57
ELH,North Eleuthera,North Eleuthera,Bahamas,25.474861,-76.683489,13
ELI,Elim Airport,Elim,United States,64.615,-162.270556,162
ELY,Ely Airport,Ely,United States,39.299722,-114.841944,6259
EMN,Nema,Nema,Mauritania,16.622,-7.316567,758
ENA,Kenai Muni,Kenai,United States,60.573111,-151.245,99
ENC,Essey,Nancy,France,48.692069,6.230458,751
ENF,Enontekio,Enontekio,Finland,68.362586,23.424322,1005
ENK,St Angelo,Enniskillen,United Kingdom,54.398889,-7.651667,155
ERC,Erzincan,Erzincan,Turkey,39.710203,39.527003,3783
ERF,Erfurt,Erfurt,Germany,50.979811,10.958106,1036
ERM,Erechim Airport,Erechim,Brazil,-27.6619,-52.2683,2498
ESE,Ensenada,Ensenada,Mexico,31.795281,-116.602772,66
ESU,Mogador Airport,Essadouira,Morocco,31.3975,-9.681667,384
EUG,Mahlon Sweet Fld,Eugene,United States,44.124583,-123.211972,374
EVV,Evansville Regional,Evansville,United States,38.036997,-87.532364,418
EWK,Newton City-County Airport,Newton,United States,38.0570785,-97.2752278,1533
EWN,Craven Co Rgnl,New Bern,United States,35.072972,-77.042944,18
EXM,Exmouth Airport,Exmouth,Australia,-21.933,114.128,50
EZE,Ministro Pistarini,Buenos Aires,Argentina,-34.822222,-58.535833,67
F57,Seaplane Base,Winterhaven,United States,28.0575,-81.7628056,140
FAJ,Diego Jimenez Torres,Fajardo,Puerto Rico,18.308889,-65.661861,64
FAT,Fresno Yosemite Intl,Fresno,United States,36.776194,-119.71814,336
FBK,Ladd Aaf,Fort Wainwright,United States,64.8375,-147.614444,454
FCA,Glacier Park Intl,Kalispell,United States,48.310472,-114.256,2977
FCM,Flying Cloud Airport,Eden Prairie,United States,44.4938,-93.2726,906
FCS,Butts Aaf,Fort Carson,United States,38.678394,-104.756581,5838
FDF,Le Lamentin,Fort-de-france,Martinique,14.591033,-61.003175,16
FDH,Friedrichshafen,Friedrichshafen,Germany,47.671317,9.511486,1367
FDY,Findlay Airport,Findley,United States,41.0120278,-83.6686111,819
FEL,Furstenfeldbruck,Fuerstenfeldbruck,Germany,48.205667,11.267,1703
FEN,Fernando De Noronha,Fernando Do Noronha,Brazil,-3.854928,-32.423336,193
FFA,First Flight Airport,Kill Devil Hills,United States,36.02,-75.67,13
FFC,Atlanta Regional Airport - Falcon Field,Atlanta,United States,33.35725,-84.5718333,808
FFT,Capital City Airport,Frankfort,United States,38.1819722,-84.9061389,812
FFZ,Mesa Falcon Field,Mesa,United States,33.4608001708984,-111.727996826172,1394
FIE,Fair Isle Airport,Fair Isle,United Kingdom,59.5358,-1.62806,223
FKB,Baden Airpark,Karlsruhe/Baden-Baden,Germany,48.7793,8.08048,407
FKQ,Fak Fak,Fak Fak,Indonesia,-2.920192,132.267031,462
FLG,Flagstaff Pulliam Airport,Flagstaff,United States,35.140318,-111.6692392,7015
FLO,Florence Rgnl,Florence,United States,34.185361,-79.723889,146
FLW,Flores,Flores,Portugal,39.455272,-31.131361,112
FMA,Formosa,Formosa,Argentina,-26.212722,-58.228111,194
FMN,Four Corners Rgnl,Farmington,United States,36.74125,-108.229944,5506
FMO,Munster Osnabruck,Munster,Germany,52.134642,7.684831,160
FMY,Page Fld,Fort Myers,United States,26.586611,-81.86325,17
FNI,Garons,Nimes,France,43.757444,4.416347,309
